,taxon_id,count,scientific_name,common_name,iconic_taxon_name,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
0,47170,1713,Fungi,Grybai,Fungi,Fungi,,,,,,,,,,,,,,,,,,,,,
1,47124,1236,Magnoliopsida,Magnolijainiai,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,,,,,,,,,,,,,,,
2,61523,1194,Helix pomatia,Vynuoginė sraigė,Mollusca,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Helicidae,Helicinae,,Helicini,,Helix,,Helix pomatia,,,,
3,55576,1145,Xanthoria parietina,Sieninė geltonkerpė,Fungi,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Xanthorioideae,,,,Xanthoria,,Xanthoria parietina,,,,
4,55610,1100,Pyrrhocoris apterus,Blakė kareivėlis,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Pyrrhocoroidea,Pyrrhocoridae,,,,,Pyrrhocoris,,Pyrrhocoris apterus,,,,
5,6930,1083,Anas platyrhynchos,Didžioji antis,Aves,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,Anas,,Anas platyrhynchos,,,,
6,51884,1057,Urtica dioica,Didžioji dilgėlė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Urticaceae,,,,,Urtica,,Urtica dioica,,,,
7,51610,967,Veronica chamaedrys,Paprastoji veronika,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,,Veroniceae,,Veronica,,Veronica chamaedrys,,,,
8,50814,913,Agaricomycetes,Agarikomicetai,Fungi,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,,,,,,,,,,,,,,,
9,55757,899,Chelidonium majus,Didžioji ugniažolė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Papaveraceae,Papaveroideae,,,,Chelidonium,,Chelidonium majus,,,,
10,55876,818,Lamium album,Baltažiedė notrelė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Lamioideae,,Lamieae,,Lamium,,Lamium album,,,,
11,639660,781,Hepatica nobilis,Triskiautė žibuoklė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,,Anemoneae,,Hepatica,,Hepatica nobilis,,,,
12,47602,763,Taraxacum officinale,Paprastoji kiaulpienė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,,Cichorieae,Crepidinae,Taraxacum,,Taraxacum officinale,,,,
13,69624,760,Oxalis acetosella,Paprastasis kiškiakopūstis,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Oxalidales,,,Oxalidaceae,,,,,Oxalis,,Oxalis acetosella,,,,
14,47126,747,Plantae,Augalai,Plantae,Plantae,,,,,,,,,,,,,,,,,,,,,
15,55745,741,Trifolium repens,Baltasis dobilas,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,,Trifolieae,,Trifolium,,Trifolium repens,,,,
16,54734,739,Parmelia sulcata,Vagotasis kežas,Fungi,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,,,Parmelia,,Parmelia sulcata,,,,
17,950603,704,Anemonoides nemorosa,Baltažiedė plukė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,,Anemoneae,,Anemonoides,,Anemonoides nemorosa,,,,
18,54763,687,Acer platanoides,Paprastasis klevas,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,Sapindaceae,,,,,Acer,,Acer platanoides,,,,
19,144757,685,Corvus cornix,Pilkoji varna,Aves,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Corvidae,,,,,Corvus,,Corvus cornix,,,,
