,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
0,Columba livia domestica,Naminis karvelis,Aves,122767,Animalia,Chordata,Vertebrata,,Aves,,,Columbiformes,,,Columbidae,,,,,Columba,,Columba livia,,Columba livia domestica,,
1,Hepatica nobilis,Triskiautė žibuoklė,Plantae,639660,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,,Anemoneae,,Hepatica,,Hepatica nobilis,,,,
2,Harmonia axyridis,Azijinė boružė,Insecta,48484,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,,Coccinellini,,Harmonia,,Harmonia axyridis,,,,
3,Encoelia furfuracea,Rupusis žievinukas,Fungi,448128,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,Cenangiaceae,,,,,Encoelia,,Encoelia furfuracea,,,,
4,Agaricomycetes,Agarikomicetai,Fungi,50814,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,,,,,,,,,,,,,,,
5,Orthotrichaceae,Šepšiniai,Plantae,64086,Plantae,Bryophyta,,,Bryopsida,,,Orthotrichales,,,Orthotrichaceae,,,,,,,,,,,
6,Lecidella elaeochroma,Rusvoji skyvytė,Fungi,223123,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,,,Lecidella,,Lecidella elaeochroma,,,,
7,Mycena meliigena,Žievinė šalmabudė,Fungi,205078,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Marasmiineae,,Mycenaceae,,,,,Mycena,,Mycena meliigena,,,,
8,Equisetum hyemale,Šiurkštusis asiūklis,Plantae,52673,Plantae,Tracheophyta,,,Polypodiopsida,Equisetidae,,Equisetales,,,Equisetaceae,,,,,Equisetum,,Equisetum hyemale,,,,
9,Quercus rubra,Raudonasis ąžuolas,Plantae,49005,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,Fagaceae,,,,,Quercus,,Quercus rubra,,,,
