taxon_id,count,created_at,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
47170,1713,2021-07-25 18:57:58 +0100,Wasp Spider,Argiope bruennichi,Paprastasis vapsvavoris,Arachnida,47170,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Argiopinae,,,,Argiope,,Argiope bruennichi,,,,
47170,1713,2020-05-15 07:46:17 +0100,Naminis karvelis,Columba livia domestica,Naminis karvelis,Aves,47170,Animalia,Chordata,Vertebrata,,Aves,,,Columbiformes,,,Columbidae,,,,,Columba,,Columba livia,,Columba livia domestica,,
47124,1236,2021-07-25 17:05:14 +0100,Širšuolas,Vespa crabro,Širšuolas,Insecta,47124,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,,,,Vespa,,Vespa crabro,,,,
47124,1236,2020-05-14 20:54:49 +0100,Ixodes ricinus,Ixodes ricinus,Miškinė erkė,Arachnida,47124,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Parasitiformes,Ixodida,,,Ixodidae,,,,,Ixodes,,Ixodes ricinus,,,,
61523,1194,2021-08-30 16:04:10 +0100,Paprastoji rykštenė,Solidago virgaurea,Paprastoji rykštenė,Plantae,61523,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Astereae,Solidagininae,Solidago,,Solidago virgaurea,,,,
61523,1194,2020-06-03 18:07:32 +0100,Ankstyvasis šalpusnis,Tussilago farfara,Ankstyvasis šalpusnis,Plantae,61523,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Senecioneae,Tussilagininae,Tussilago,,Tussilago farfara,,,,
55576,1145,2021-08-16 07:46:23 +0100,Cichorieae,Cichorieae,,Plantae,55576,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,,Cichorieae,,,,,,,,
55576,1145,2020-05-27 18:14:12 +0100,Домашний голубь,Columba livia domestica,Naminis karvelis,Aves,55576,Animalia,Chordata,Vertebrata,,Aves,,,Columbiformes,,,Columbidae,,,,,Columba,,Columba livia,,Columba livia domestica,,
55610,1100,2021-08-16 10:07:13 +0100,Dvokiančioji Žvynabudėlė,Lepiota cristata,Dvokioji žvynabudėlė,Fungi,55610,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Verrucosporaceae,,,,,Lepiota,,Lepiota cristata,,,,
55610,1100,2020-05-27 18:37:43 +0100,Athous haemorrhoidalis,Athous haemorrhoidalis,Rusvapilvis laukaspragšis,Insecta,55610,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,,Dendrometrini,Dendrometrina,Athous,,Athous haemorrhoidalis,,,,
