,taxon_id,count
0,47170,1713
1,47124,1236
2,61523,1194
3,55576,1145
4,55610,1100
5,6930,1083
6,51884,1057
7,51610,967
8,50814,913
9,55757,899
10,55876,818
11,639660,781
12,47602,763
13,69624,760
14,47126,747
15,55745,741
16,54734,739
17,950603,704
18,54763,687
19,144757,685
20,55830,684
21,4733,683
22,55563,680
23,52821,676
24,48484,665
25,1098280,655
26,51702,649
27,55617,630
28,207977,619
29,54491,608
30,6921,607
31,14850,605
32,48206,604
33,47157,599
34,58722,599
35,311249,581
36,123175,574
37,51741,565
38,47167,557
39,63567,552
40,56133,551
41,182631,550
42,127510,536
43,53021,524
44,76897,505
45,56174,504
46,79109,499
47,326296,498
48,203153,496
49,129115,496
50,13695,493
51,50298,492
52,56222,492
53,52913,491
54,25591,490
55,125655,486
56,144510,480
57,52628,475
58,56063,473
59,10070,472
60,59549,470
61,117971,466
62,55814,458
63,50247,453
64,46970,451
65,204321,450
66,52771,449
67,51875,443
68,55819,440
69,49133,438
70,12716,437
71,133031,430
72,48586,430
73,229765,429
74,950596,429
75,482,429
76,54468,427
77,204339,422
78,35453,417
79,17871,416
80,42184,416
81,966787,415
82,122767,409
83,124544,405
84,58961,404
85,48197,401
86,51736,400
87,56225,399
88,132600,399
89,123920,395
90,1024536,392
91,55734,391
92,56224,390
93,47726,388
94,55787,386
95,57500,385
96,204168,383
97,13858,383
98,52724,380
99,12707,379
100,47603,377
101,143793,375
102,48685,374
103,53779,374
104,48715,373
105,119450,373
106,122555,372
107,53713,372
108,128901,372
109,75762,371
110,55760,370
111,56121,368
112,50867,367
113,55971,367
114,47125,366
115,113525,363
116,3048,362
117,55925,362
118,63134,362
119,49490,361
120,61321,359
121,159763,358
122,52402,358
123,49136,357
124,55847,356
125,740984,355
126,50790,354
127,47892,353
128,229764,352
129,46001,350
130,54758,350
131,119642,348
132,55851,348
133,62060,347
134,8029,347
135,47219,347
136,55750,346
137,56154,345
138,8088,344
139,67842,344
140,52856,342
141,60132,341
142,130935,337
143,245677,337
144,53453,336
145,58725,333
146,564969,333
147,56061,333
148,54743,331
149,52720,331
150,158615,329
151,127029,328
152,49131,327
153,56312,327
154,124548,321
155,126756,319
156,50829,319
157,13851,319
158,64237,318
159,318545,317
160,402509,315
161,75430,313
162,62338,312
163,47571,311
164,43048,311
165,210933,310
166,84778,309
167,57850,309
168,52471,309
169,175355,307
170,55972,307
171,83653,306
172,55721,305
173,47392,302
174,55746,302
175,55641,302
176,68328,299
177,55969,299
178,7004,298
179,54573,294
180,53178,294
181,48230,292
182,48701,291
183,54134,289
184,48543,289
185,123666,287
186,62498,287
187,55828,287
188,79408,286
189,43793,285
190,76610,285
191,144849,282
192,48473,281
193,55643,281
194,716947,281
195,56099,281
196,51275,281
197,423693,280
198,8000,280
199,118850,279
200,55653,278
201,55976,276
202,133034,276
203,51678,275
204,124095,275
205,933404,275
206,125012,273
207,81687,272
208,84517,270
209,60076,268
210,55620,268
211,319872,265
212,204355,265
213,143291,265
214,59779,265
215,41,265
216,47347,263
217,55722,263
218,54327,263
219,47779,260
220,83992,259
221,546357,259
222,54436,258
223,56077,255
224,52764,255
225,62426,252
226,516757,251
227,58907,248
228,47435,248
229,9195,248
230,59029,247
231,541758,247
232,76721,245
233,68330,245
234,56164,245
235,48372,244
236,61769,244
237,47208,243
238,4208,242
239,124552,241
240,371920,241
241,56057,240
242,123943,240
243,223123,239
244,47434,236
245,117299,235
246,52681,235
247,56832,234
248,47687,233
249,53258,233
250,84804,232
251,51824,231
252,1138381,231
253,52989,231
254,208078,229
255,144455,229
256,53060,229
257,109650,227
258,56064,227
259,126188,227
260,47680,226
261,117987,226
262,55022,225
263,123628,225
264,61532,225
265,52775,224
266,127900,224
267,124439,224
268,55267,223
269,163992,222
270,127345,222
271,416809,220
272,57644,220
273,55724,219
274,14824,219
275,48229,219
276,64546,219
277,35912,218
278,57824,217
279,125440,217
280,55739,217
281,76907,216
282,362611,216
283,147325,215
284,132875,212
285,127051,212
286,53298,211
287,52506,211
288,55713,210
289,204533,209
290,63401,209
291,47604,208
292,57056,208
293,79441,208
294,55623,207
295,775410,206
296,56160,205
297,62470,205
298,55844,205
299,51666,204
300,52592,204
301,47158,204
302,64806,203
303,159452,203
304,76647,202
305,57692,202
306,67808,202
307,133653,202
308,129385,202
309,47561,202
310,55826,200
311,52992,199
312,765394,198
313,50717,198
314,55846,197
315,48538,197
316,56314,197
317,56529,196
318,55048,196
319,55401,196
320,48571,195
321,203759,194
322,966205,194
323,57457,194
324,132885,194
325,85065,194
326,118012,194
327,159764,194
328,47380,193
329,147078,193
330,47339,192
331,55483,191
332,117874,191
333,48587,190
334,48339,190
335,52589,190
336,51662,189
337,135064,188
338,891696,188
339,624557,188
340,972793,188
341,336378,188
342,9462,187
343,47169,187
344,54087,187
